target_name,repeat,model,split_seed,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,1,genomic,439824836,0.593260096401329,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.05, ""max_bin"": 511, ""max_depth"": 3, ""min_child_samples"": 40, ""min_split_gain"": 0.5, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,1,combined,439824836,0.8064836913285601,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 127, ""max_depth"": 10, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,2,genomic,1256716928,0.6198640554073659,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.05, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.1, ""n_estimators"": 50, ""num_leaves"": 15, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.9}"
FILD or FILA ADJUDICATED,2,combined,1256716928,0.8009967710234451,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 63, ""max_depth"": 3, ""min_child_samples"": 150, ""min_split_gain"": 0.0, ""n_estimators"": 50, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,3,genomic,471186137,0.5749333146146287,"{""colsample_bytree"": 0.4, ""learning_rate"": 0.03, ""max_bin"": 255, ""max_depth"": 5, ""min_child_samples"": 150, ""min_split_gain"": 0.5, ""n_estimators"": 100, ""num_leaves"": 7, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,3,combined,471186137,0.7428225466797697,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.12, ""max_bin"": 255, ""max_depth"": 7, ""min_child_samples"": 150, ""min_split_gain"": 0.01, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,4,genomic,1768027081,0.5851935046094809,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_bin"": 63, ""max_depth"": -1, ""min_child_samples"": 80, ""min_split_gain"": 0.01, ""n_estimators"": 200, ""num_leaves"": 127, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,4,combined,1768027081,0.8280277504796668,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_bin"": 63, ""max_depth"": 14, ""min_child_samples"": 150, ""min_split_gain"": 0.01, ""n_estimators"": 200, ""num_leaves"": 7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.75}"
FILD or FILA ADJUDICATED,5,genomic,1372874712,0.5472822780663579,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.08, ""max_bin"": 127, ""max_depth"": 10, ""min_child_samples"": 150, ""min_split_gain"": 0.0, ""n_estimators"": 700, ""num_leaves"": 31, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,5,combined,1372874712,0.8238043427394824,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_bin"": 127, ""max_depth"": 14, ""min_child_samples"": 80, ""min_split_gain"": 0.5, ""n_estimators"": 50, ""num_leaves"": 63, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,6,genomic,1681759250,0.5421638822593476,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_bin"": 127, ""max_depth"": -1, ""min_child_samples"": 40, ""min_split_gain"": 0.0, ""n_estimators"": 700, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.6}"
FILD or FILA ADJUDICATED,6,combined,1681759250,0.8277294211240581,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.01, ""max_bin"": 255, ""max_depth"": 5, ""min_child_samples"": 10, ""min_split_gain"": 0.01, ""n_estimators"": 100, ""num_leaves"": 15, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.9}"
