target_name,repeat,split_seed,model,inner_cv_auc,params_json
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_ridge,0.8250327577331649,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_MUC5B_DOCK2_ridge,0.8313824933314615,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,1,104612344,zebra_plus_genomics_elasticnet,0.8257171603725023,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_ridge,0.844731269596144,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_MUC5B_DOCK2_ridge,0.8363400252702512,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,2,115698656,zebra_plus_genomics_elasticnet,0.8358779072488184,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_ridge,0.8140355187421031,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_MUC5B_DOCK2_ridge,0.8070745004445691,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,3,1939270016,zebra_plus_genomics_elasticnet,0.8214937526323179,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_MUC5B_ridge,0.8010055454162571,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_MUC5B_DOCK2_ridge,0.778721512471337,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,4,105809480,zebra_plus_genomics_elasticnet,0.8041614020309794,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,5,1329122081,zebra_plus_MUC5B_ridge,0.8544474472366512,"{""lr__C"": 0.1}"
FILD or FILA ADJUDICATED,5,1329122081,zebra_plus_MUC5B_DOCK2_ridge,0.8486241752070756,"{""lr__C"": 1}"
FILD or FILA ADJUDICATED,5,1329122081,zebra_plus_genomics_elasticnet,0.8529265524825682,"{""lr__C"": 0.01, ""lr__l1_ratio"": 0.5}"
FILD or FILA ADJUDICATED,6,1247499012,zebra_plus_MUC5B_ridge,0.8124502784407319,"{""lr__C"": 1}"
