target_name,repeat,split_seed,model,n_test,n_pos_test,auc,partial_auc_fpr_0_05_raw,average_precision
FILD or FILA ADJUDICATED,1,1712542226,zebra,7730,163,0.8288694614409841,0.017162185498706448,0.2513791556845361
FILD or FILA ADJUDICATED,1,1712542226,genomic,7730,163,0.588660319550259,0.0029665053538086347,0.03062561923234761
FILD or FILA ADJUDICATED,1,1712542226,combined,7730,163,0.8148482959184253,0.011344707119466915,0.12371482622094937
FILD or FILA ADJUDICATED,2,606672302,zebra,7730,163,0.8247581320570997,0.01617870135176878,0.22150731230953474
FILD or FILA ADJUDICATED,2,606672302,genomic,7730,163,0.5276073619631902,0.0014186559171604832,0.023623824591751393
FILD or FILA ADJUDICATED,2,606672302,combined,7730,163,0.8160992880776312,0.014637702779505133,0.16571480397901117
FILD or FILA ADJUDICATED,3,1462431803,zebra,7730,163,0.8495562342460522,0.02075033585450548,0.2917594915541348
FILD or FILA ADJUDICATED,3,1462431803,genomic,7730,163,0.5379906779599181,0.0013397290949319009,0.02568172907490908
FILD or FILA ADJUDICATED,3,1462431803,combined,7730,163,0.8079341927857561,0.018124630600581636,0.2458512179489091
FILD or FILA ADJUDICATED,4,1676819912,zebra,7730,163,0.8577517327822373,0.02011454320949619,0.30095728597538085
FILD or FILA ADJUDICATED,4,1676819912,genomic,7730,163,0.5497709216885395,0.0023822360734899115,0.0281192639038535
FILD or FILA ADJUDICATED,4,1676819912,combined,7730,163,0.8255129432691677,0.019111560448541093,0.29541376992729074
FILD or FILA ADJUDICATED,5,1906335070,zebra,7730,163,0.8315498114593476,0.01744274663719849,0.2582736676612114
FILD or FILA ADJUDICATED,5,1906335070,genomic,7730,163,0.5548348860608017,0.002594653407068633,0.02989469339250312
FILD or FILA ADJUDICATED,5,1906335070,combined,7730,163,0.8265969202729645,0.017450043415832877,0.22160969458436455
FILD or FILA ADJUDICATED,6,679608067,zebra,7730,163,0.8242457360463297,0.01845833661012744,0.26799846795667615
FILD or FILA ADJUDICATED,6,679608067,genomic,7730,163,0.5284967582034034,0.0025367656299025232,0.027057367649346457
FILD or FILA ADJUDICATED,6,679608067,combined,7730,163,0.8202941250392202,0.017299770313623654,0.24202004160703058
FILD or FILA ADJUDICATED,7,1930325290,zebra,7730,163,0.8366660694118229,0.019944122890724256,0.2833478857989363
FILD or FILA ADJUDICATED,7,1930325290,genomic,7730,163,0.5210143170904338,0.002145942058713124,0.025940932758520004
FILD or FILA ADJUDICATED,7,1930325290,combined,7730,163,0.8240000778323053,0.017473555258099224,0.23738752317387357
FILD or FILA ADJUDICATED,8,108476328,zebra,7730,163,0.8355010170898662,0.01823477142030175,0.2466136589328151
FILD or FILA ADJUDICATED,8,108476328,genomic,7730,163,0.5187693415305885,0.0018143440074394714,0.026061409027207133
FILD or FILA ADJUDICATED,8,108476328,combined,7730,163,0.8309141809649747,0.015662170499772584,0.2147737069345574
