target_name,repeat,split_seed,model,n_test,n_pos_test,auc,partial_auc_fpr_0_05_raw,average_precision
NON FIBROTIC ILA ADJUDICATED,1,1975117437,zebra,7730,46,0.8605543987506508,0.01329979856505896,0.05148855173707475
NON FIBROTIC ILA ADJUDICATED,1,1975117437,genomic,7730,46,0.5265147228572075,0.0019249485096077676,0.01210480360782919
NON FIBROTIC ILA ADJUDICATED,1,1975117437,combined,7730,46,0.5727966638752461,0.002415521807029853,0.008172090666852459
NON FIBROTIC ILA ADJUDICATED,2,32894861,zebra,7730,46,0.8499564312065726,0.008848991693637825,0.03389028318997966
NON FIBROTIC ILA ADJUDICATED,2,32894861,genomic,7730,46,0.49897585044021453,0.0011248670303057738,0.0061835549548841535
NON FIBROTIC ILA ADJUDICATED,2,32894861,combined,7730,46,0.7887422764411651,0.006226942489192677,0.022008085476910386
NON FIBROTIC ILA ADJUDICATED,3,1653617492,zebra,7730,46,0.8572358146798542,0.01177432496661612,0.044757328857838
NON FIBROTIC ILA ADJUDICATED,3,1653617492,genomic,7730,46,0.5197049770273635,7.978181653577175e-05,0.006565113234475536
NON FIBROTIC ILA ADJUDICATED,3,1653617492,combined,7730,46,0.766256252404771,0.006370662924654279,0.021248596522782395
NON FIBROTIC ILA ADJUDICATED,4,1731601306,zebra,7730,46,0.8473083538917683,0.01147330421202725,0.04386616318621035
NON FIBROTIC ILA ADJUDICATED,4,1731601306,genomic,7730,46,0.4613963515379218,0.000740103659778648,0.005825574081221961
NON FIBROTIC ILA ADJUDICATED,4,1731601306,combined,7730,46,0.7068895276463798,0.004230699590340177,0.01524223520420966
NON FIBROTIC ILA ADJUDICATED,5,868149077,zebra,7730,46,0.883524206142634,0.011510648892107825,0.047486444006892524
NON FIBROTIC ILA ADJUDICATED,5,868149077,genomic,7730,46,0.4688539709843152,0.0009931241275913769,0.005739169041595845
NON FIBROTIC ILA ADJUDICATED,5,868149077,combined,7730,46,0.7271688205871036,0.0032942534458954803,0.013475914932351212
NON FIBROTIC ILA ADJUDICATED,6,639137492,zebra,7730,46,0.8581892356788811,0.010947083719982799,0.039780578589071094
NON FIBROTIC ILA ADJUDICATED,6,639137492,genomic,7730,46,0.48056096236108914,0.0009030622637666071,0.005838415735979567
NON FIBROTIC ILA ADJUDICATED,6,639137492,combined,7730,46,0.668297195754023,0.0066999751035466135,0.020582380580496704
NON FIBROTIC ILA ADJUDICATED,7,890802042,zebra,7730,46,0.8608571169906978,0.010219994115383747,0.0374183188790478
NON FIBROTIC ILA ADJUDICATED,7,890802042,genomic,7730,46,0.43599913994070116,0.0,0.005076078073857319
NON FIBROTIC ILA ADJUDICATED,7,890802042,combined,7730,46,0.515659303351968,0.0007848041101781229,0.006445614688501982
NON FIBROTIC ILA ADJUDICATED,8,1912714604,zebra,7730,46,0.8618275128443067,0.011488581581151121,0.04505357575788652
NON FIBROTIC ILA ADJUDICATED,8,1912714604,genomic,7730,46,0.42700812529705995,0.0025762170970735354,0.007459919918051785
NON FIBROTIC ILA ADJUDICATED,8,1912714604,combined,7730,46,0.7699482832763732,0.0027403073580336327,0.0166441845532188
NON FIBROTIC ILA ADJUDICATED,9,1958769541,zebra,7730,46,0.8680827467578028,0.01404838965212865,0.05223412519895689
NON FIBROTIC ILA ADJUDICATED,9,1958769541,genomic,7730,46,0.5680550211619854,0.0020562207183758463,0.007928378716349656
NON FIBROTIC ILA ADJUDICATED,9,1958769541,combined,7730,46,0.7814176266889981,0.004845189326211439,0.03945786072602349
NON FIBROTIC ILA ADJUDICATED,10,951908983,zebra,7730,46,0.8640964850734445,0.011454631871986965,0.04272444645848393
NON FIBROTIC ILA ADJUDICATED,10,951908983,genomic,7730,46,0.5149435303170903,0.0008300703890636669,0.006542823546024909
NON FIBROTIC ILA ADJUDICATED,10,951908983,combined,7730,46,0.6635781861802051,0.0016080845574089587,0.01217927167698309
