target_name,repeat,split_seed,model,n_test,n_pos_test,auc,partial_auc_fpr_0_05_raw,average_precision
NONFIBROTIC ILD ADJUDICATED,1,1548941013,zebra,7730,18,0.85449443868142,0.007648253803596128,0.012000956868640356
NONFIBROTIC ILD ADJUDICATED,1,1548941013,genomic,7730,18,0.5938652604887045,0.0,0.003139393374892272
NONFIBROTIC ILD ADJUDICATED,1,1548941013,combined,7730,18,0.5737595089903181,0.0010488704472106964,0.0038436545814222838
NONFIBROTIC ILD ADJUDICATED,2,458881722,zebra,7730,18,0.8500641136468419,0.008786451129552791,0.012033086225341974
NONFIBROTIC ILD ADJUDICATED,2,458881722,genomic,7730,18,0.4717323651452282,0.002501152604887045,0.0028719221331269147
NONFIBROTIC ILD ADJUDICATED,2,458881722,combined,7730,18,0.6827310972798525,0.002839730290456432,0.00557960958144741
NONFIBROTIC ILD ADJUDICATED,3,1748078737,zebra,7730,18,0.8482667704011064,0.011188911940986632,0.015450297192455281
NONFIBROTIC ILD ADJUDICATED,3,1748078737,genomic,7730,18,0.4544649031811895,0.0,0.0020857255016103714
NONFIBROTIC ILD ADJUDICATED,3,1748078737,combined,7730,18,0.6838260719225449,0.004302097740894422,0.005622201468853824
NONFIBROTIC ILD ADJUDICATED,4,1228479378,zebra,7730,18,0.8961827166897186,0.013970291609036423,0.02212905673646201
NONFIBROTIC ILD ADJUDICATED,4,1228479378,genomic,7730,18,0.5846300138312587,0.001956546795758414,0.003674354985776012
NONFIBROTIC ILD ADJUDICATED,4,1228479378,combined,7730,18,0.6011266712770862,0.001074804057169203,0.004371459874597887
NONFIBROTIC ILD ADJUDICATED,5,2035203530,zebra,7730,18,0.81739857076994,0.008539361456892578,0.011109178439940854
NONFIBROTIC ILD ADJUDICATED,5,2035203530,genomic,7730,18,0.4586791147994468,0.000880301982480406,0.00290530768577924
NONFIBROTIC ILD ADJUDICATED,5,2035203530,combined,7730,18,0.5987134047948364,0.0033122982941447675,0.00564741824887695
NONFIBROTIC ILD ADJUDICATED,6,954863965,zebra,7730,18,0.8534390848317197,0.008882261410788381,0.012552851962915924
NONFIBROTIC ILD ADJUDICATED,6,954863965,genomic,7730,18,0.49226313969571234,0.00022043568464730288,0.0024258067637484533
NONFIBROTIC ILD ADJUDICATED,6,954863965,combined,7730,18,0.47650847164591975,0.002525645458736745,0.0049607297260519535
NONFIBROTIC ILD ADJUDICATED,7,795042948,zebra,7730,18,0.8516813623789765,0.012262275242047028,0.0189354381648437
NONFIBROTIC ILD ADJUDICATED,7,795042948,genomic,7730,18,0.5292041263254956,0.001084889349930844,0.0027442023850697125
NONFIBROTIC ILD ADJUDICATED,7,795042948,combined,7730,18,0.7497190525587829,0.0068680843706777316,0.00799141720566416
NONFIBROTIC ILD ADJUDICATED,8,1301523287,zebra,7730,18,0.8620728158137392,0.01257563969571231,0.017529820778168427
NONFIBROTIC ILD ADJUDICATED,8,1301523287,genomic,7730,18,0.46290773397879215,0.0015747464269248504,0.002518530764330105
NONFIBROTIC ILD ADJUDICATED,8,1301523287,combined,7730,18,0.6027655313508529,0.0,0.0033005075707524716
NONFIBROTIC ILD ADJUDICATED,9,220165695,zebra,7730,18,0.8480074343015214,0.011527489626556017,0.014621449515085592
NONFIBROTIC ILD ADJUDICATED,9,220165695,genomic,7730,18,0.4991211387736284,0.0,0.0025401497771698383
NONFIBROTIC ILD ADJUDICATED,9,220165695,combined,7730,18,0.73537632549562,0.002712943752881512,0.010133112702247208
NONFIBROTIC ILD ADJUDICATED,10,1872539558,zebra,7730,18,0.8285932457353619,0.01296824573536192,0.01847321225680662
NONFIBROTIC ILD ADJUDICATED,10,1872539558,genomic,7730,18,0.5278786307053942,0.0,0.0026502330382589348
NONFIBROTIC ILD ADJUDICATED,10,1872539558,combined,7730,18,0.682623040571692,0.0038338520055325037,0.005194597494454022
