model,pred_w,target,n_pos,n_neg,AUC,tpr,ppv,npv,LR+,LR-
ILD,4,FILD or FILA ADJUDICATED,315,14624,$0.873 \pm 0.027$,$0.567 \pm 0.055$,$0.196 \pm 0.015$,$0.990 \pm 0.001$,$11.253 \pm 1.094$,$0.456 \pm 0.058$
FILD,4,FILD or FILA ADJUDICATED,315,14624,$0.870 \pm 0.028$,$0.554 \pm 0.055$,$0.192 \pm 0.015$,$0.990 \pm 0.001$,$11.282 \pm 1.098$,$0.469 \pm 0.058$
NFILD,4,FILD or FILA ADJUDICATED,315,14624,$0.841 \pm 0.028$,$0.401 \pm 0.054$,$0.147 \pm 0.017$,$0.987 \pm 0.001$,$8.147 \pm 1.082$,$0.631 \pm 0.057$
IPF,4,FILD or FILA ADJUDICATED,315,14624,$0.859 \pm 0.027$,$0.431 \pm 0.055$,$0.156 \pm 0.017$,$0.987 \pm 0.001$,$9.197 \pm 1.094$,$0.599 \pm 0.058$
ILD,4,NONFIBROTIC ILD ADJUDICATED,33,14624,$0.876 \pm 0.079$,$0.502 \pm 0.171$,$0.022 \pm 0.007$,$0.999 \pm 0.000$,$11.901 \pm 3.412$,$0.523 \pm 0.180$
FILD,4,NONFIBROTIC ILD ADJUDICATED,33,14624,$0.893 \pm 0.072$,$0.540 \pm 0.170$,$0.024 \pm 0.007$,$0.999 \pm 0.000$,$12.353 \pm 3.401$,$0.483 \pm 0.179$
NFILD,4,NONFIBROTIC ILD ADJUDICATED,33,14624,$0.882 \pm 0.076$,$0.487 \pm 0.171$,$0.021 \pm 0.007$,$0.999 \pm 0.000$,$11.398 \pm 3.411$,$0.538 \pm 0.180$
IPF,4,NONFIBROTIC ILD ADJUDICATED,33,14624,$0.859 \pm 0.073$,$0.269 \pm 0.151$,$0.012 \pm 0.007$,$0.998 \pm 0.000$,$8.065 \pm 3.026$,$0.768 \pm 0.159$
ILD,4,NON FIBROTIC ILA ADJUDICATED,85,14624,$0.870 \pm 0.044$,$0.456 \pm 0.106$,$0.050 \pm 0.011$,$0.997 \pm 0.001$,$9.246 \pm 2.118$,$0.572 \pm 0.111$
FILD,4,NON FIBROTIC ILA ADJUDICATED,85,14624,$0.871 \pm 0.044$,$0.488 \pm 0.106$,$0.054 \pm 0.011$,$0.997 \pm 0.001$,$10.363 \pm 2.125$,$0.538 \pm 0.112$
NFILD,4,NON FIBROTIC ILA ADJUDICATED,85,14624,$0.860 \pm 0.045$,$0.429 \pm 0.105$,$0.047 \pm 0.011$,$0.997 \pm 0.001$,$8.699 \pm 2.104$,$0.601 \pm 0.111$
IPF,4,NON FIBROTIC ILA ADJUDICATED,85,14624,$0.863 \pm 0.039$,$0.390 \pm 0.104$,$0.043 \pm 0.011$,$0.996 \pm 0.001$,$7.790 \pm 2.074$,$0.642 \pm 0.109$
ILD,12,FILD or FILA ADJUDICATED,308,14623,$0.863 \pm 0.028$,$0.551 \pm 0.056$,$0.188 \pm 0.015$,$0.990 \pm 0.001$,$11.079 \pm 1.111$,$0.472 \pm 0.058$
FILD,12,FILD or FILA ADJUDICATED,308,14623,$0.860 \pm 0.029$,$0.546 \pm 0.056$,$0.187 \pm 0.015$,$0.990 \pm 0.001$,$11.056 \pm 1.112$,$0.477 \pm 0.059$
NFILD,12,FILD or FILA ADJUDICATED,308,14623,$0.830 \pm 0.029$,$0.371 \pm 0.054$,$0.135 \pm 0.017$,$0.986 \pm 0.001$,$7.658 \pm 1.079$,$0.662 \pm 0.057$
