target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,0,770,0,0.23307285999480798,0.0,0.0,0.004964141914221508,0.11052533634471677,0.26286504287269014
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,1,769,0,0.28769659440672135,0.0,0.0,0.004970565148712315,0.26288225037452106,0.3147882091717494
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,2,770,0,0.3459212052422378,0.0,0.0,0.004964141914221508,0.3148074139426628,0.3794689247521446
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,3,769,0,0.41506738737183596,0.0,0.0,0.004970565148712315,0.3795264843613482,0.4521619569280848
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,4,770,0,0.4975392351866809,0.0,0.0,0.004964141914221508,0.4522190629161516,0.5477067263054082
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,5,769,2,0.6077337210320242,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.5480220019228442,0.6715718147775875
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,6,769,3,0.736675760238537,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.6717461495808702,0.7933169613526788
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,7,770,2,0.8466430073120654,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.7934919360090515,0.898799002791246
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,8,769,2,0.9497005774255566,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.898912828622922,0.9857866911449585
NONFIBROTIC ILD ADJUDICATED,1,283399477,zebra,9,770,7,0.9966301734575229,0.00909090909090909,0.004410478976495486,0.01864522399383109,0.9859102920779055,1.0
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,0,770,0,0.0006865652137512456,0.0,0.0,0.004964141914221508,0.00034230578192242313,0.0008671841950258058
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,1,769,1,0.0010124523904687173,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0008673557266885653,0.0011644733369458164
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,2,770,4,0.001326709590189731,0.005194805194805195,0.0020219574690050306,0.013280219334419372,0.0011644835002630003,0.0014983857791423534
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,3,769,0,0.0016890383599451732,0.0,0.0,0.004970565148712315,0.001499248589936649,0.0019041153190763637
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,4,770,2,0.0021888751496439676,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.0019051812200115111,0.0025055779552105037
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,5,769,1,0.002938767891134212,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0025068975058011546,0.0034134292306875267
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,6,769,3,0.004158223798066068,0.0039011703511053317,0.001327618000260774,0.011406505807889416,0.003413840199258672,0.005172778130101494
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,7,770,0,0.007325098628462646,0.0,0.0,0.004964141914221508,0.005173113275812498,0.010845528633186045
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,8,769,1,0.026611847408239023,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.01086246906990388,0.05123395667727086
NONFIBROTIC ILD ADJUDICATED,1,283399477,genomic,9,770,4,0.13640343556703088,0.005194805194805195,0.0020219574690050306,0.013280219334419372,0.05133716476421146,0.6621405491308533
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,0,770,0,0.0005065210132043311,0.0,0.0,0.004964141914221508,0.00025808093686890737,0.0006240544713312407
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,1,769,1,0.0007209502459481129,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0006243721196115559,0.0008193442236706783
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,2,770,1,0.0009185780883582842,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.0008193603744215525,0.001024950071249996
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,3,769,0,0.0011543461843962024,0.0,0.0,0.004970565148712315,0.0010250140563984468,0.0012991290183528787
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,4,770,4,0.0014586851704386664,0.005194805194805195,0.0020219574690050306,0.013280219334419372,0.001299575546994386,0.001630229290375725
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,5,769,0,0.0018708710178014967,0.0,0.0,0.004970565148712315,0.001630617179410921,0.0021547742825702093
NONFIBROTIC ILD ADJUDICATED,1,283399477,combined,6,769,2,0.0026224368174724818,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0021549521779120687,0.0032209540220916474
