target_name,model,requested_fpr,metric,n_repeats,mean,sd,median,q025,q975
FILD or FILA ADJUDICATED,combined,0.001,tpr,30,0.06560030458089669,0.030234910852024965,0.06306578947368421,0.017609914108187134,0.12105065789473683
FILD or FILA ADJUDICATED,combined,0.001,ppv,30,0.5496461212241116,0.11922953232883848,0.575548726953468,0.29792576939248194,0.7108170374560081
FILD or FILA ADJUDICATED,combined,0.001,acc,30,0.9805624751522153,0.0005972328069535763,0.9805124106562704,0.9796145168218902,0.9816577907732295
FILD or FILA ADJUDICATED,combined,0.001,npv,30,0.9815009927567514,0.000587570220887967,0.9814514124093106,0.9805694473630486,0.9825793681650046
FILD or FILA ADJUDICATED,combined,0.001,threshold,30,0.7427382993303046,0.19282980687013127,0.7972905844356278,0.3697016216403566,0.9521861512492356
FILD or FILA ADJUDICATED,combined,0.001,expected_fp,30,7.543000000000002,1.8067241133067846e-15,7.543,7.543,7.543
FILD or FILA ADJUDICATED,combined,0.001,expected_tn,30,7535.4569999999985,1.8500854920261474e-12,7535.457,7535.457,7535.457
FILD or FILA ADJUDICATED,combined,0.001,expected_flags,30,17.514246296296296,4.595706449507795,17.129,10.219706944444445,25.942700000000002
FILD or FILA ADJUDICATED,combined,0.001,fpr,30,0.0010000000000000002,2.205473771126446e-19,0.001,0.001,0.001
FILD or FILA ADJUDICATED,combined,0.001,tpr_upper,30,0.1154293850661746,0.037714499695857495,0.113371347439329,0.051176019963168826,0.18237841978668476
FILD or FILA ADJUDICATED,combined,0.001,ppv_upper,30,0.7436759862822563,0.08801695336154401,0.7613443948952759,0.5102606504397922,0.8473684548882898
FILD or FILA ADJUDICATED,combined,0.001,acc_upper,30,0.9820350544018395,0.0007529236871200032,0.9819988275065308,0.98067890065299,0.9833619301701823
FILD or FILA ADJUDICATED,combined,0.001,npv_upper,30,0.9824790023928123,0.0007341182160328084,0.982438521338846,0.9812285048816394,0.9837831986134092
FILD or FILA ADJUDICATED,combined,0.001,threshold_upper,30,0.7427382993303046,0.19282980687013127,0.7972905844356278,0.3697016216403566,0.9521861512492356
FILD or FILA ADJUDICATED,combined,0.001,expected_fp_upper,30,7.543000000000002,1.8067241133067846e-15,7.543,7.543,7.543
FILD or FILA ADJUDICATED,combined,0.001,expected_tn_upper,30,7535.4569999999985,1.8500854920261474e-12,7535.457,7535.457,7535.457
FILD or FILA ADJUDICATED,combined,0.001,expected_flags_upper,30,17.514246296296296,4.595706449507795,17.129,10.219706944444445,25.942700000000002
FILD or FILA ADJUDICATED,combined,0.001,fpr_lower,30,0.0010000000000000002,2.205473771126446e-19,0.001,0.001,0.001
FILD or FILA ADJUDICATED,combined,0.001,tpr_lower,30,0.037186944332100104,0.021342859077741704,0.03430090226139171,0.007825434329955585,0.07840493740361278
FILD or FILA ADJUDICATED,combined,0.001,ppv_lower,30,0.36928018902572546,0.10653424765466556,0.3954595347441847,0.19532939663734658,0.5287262723998591
FILD or FILA ADJUDICATED,combined,0.001,acc_lower,30,0.979014959583425,0.00041629513062945827,0.9789535256452019,0.9784428415655401,0.9798247164628261
FILD or FILA ADJUDICATED,combined,0.001,npv_lower,30,0.9809301527065201,0.00041461190897222134,0.9808738316951033,0.9803618789759587,0.9817313977317276
FILD or FILA ADJUDICATED,combined,0.001,threshold_lower,30,0.7427382993303046,0.19282980687013127,0.7972905844356278,0.3697016216403566,0.9521861512492356
FILD or FILA ADJUDICATED,combined,0.001,expected_fp_lower,30,7.543000000000002,1.8067241133067846e-15,7.543,7.543,7.543
FILD or FILA ADJUDICATED,combined,0.001,expected_tn_lower,30,7535.4569999999985,1.8500854920261474e-12,7535.457,7535.457,7535.457
FILD or FILA ADJUDICATED,combined,0.001,expected_flags_lower,30,17.514246296296296,4.595706449507795,17.129,10.219706944444445,25.942700000000002
FILD or FILA ADJUDICATED,combined,0.001,sensitivity,30,0.06560030458089669,0.030234910852024965,0.06306578947368421,0.017609914108187134,0.12105065789473683
FILD or FILA ADJUDICATED,combined,0.001,specificity,30,0.9989999999999998,2.2584051416334807e-16,0.999,0.999,0.999
FILD or FILA ADJUDICATED,combined,0.005,tpr,30,0.19113596491228071,0.06556351778907878,0.1907894736842105,0.09983552631578947,0.3177409539473684
FILD or FILA ADJUDICATED,combined,0.005,ppv,30,0.42274481060930036,0.08353672621737337,0.4197408534963398,0.2850384143657463,0.5612699200513538
FILD or FILA ADJUDICATED,combined,0.005,acc,30,0.9791212042451808,0.0012950818328706878,0.9791143599740091,0.977317738791423,0.9816220435347628
FILD or FILA ADJUDICATED,combined,0.005,npv,30,0.9838842188611137,0.0012859799063208218,0.9838758159332834,0.9820959434081679,0.986371015295547
FILD or FILA ADJUDICATED,combined,0.005,LR+,20,39.12910955280938,12.68374316497151,39.9462720039118,18.983014013602418,61.35429317434208
FILD or FILA ADJUDICATED,combined,0.005,LR-,20,0.8084104045394597,0.06373606290362412,0.8043010239709631,0.6967377091231746,0.9096469220950687
FILD or FILA ADJUDICATED,combined,0.005,threshold,30,0.66782447248184,0.18097243756051673,0.7320515521865447,0.32574442259153513,0.8677358201907032
FILD or FILA ADJUDICATED,combined,0.005,expected_fp,30,37.715,1.319444736062194e-15,37.715,37.715,37.715
FILD or FILA ADJUDICATED,combined,0.005,expected_tn,30,7505.285000000001,9.250427460130737e-13,7505.285,7505.285,7505.285
FILD or FILA ADJUDICATED,combined,0.005,expected_flags,30,66.76766666666666,9.965654703939974,66.715,52.89,86.011625
FILD or FILA ADJUDICATED,combined,0.005,fpr,30,0.005000000000000001,8.821895084505784e-19,0.005,0.005,0.005
FILD or FILA ADJUDICATED,combined,0.005,tpr_upper,30,0.25965593598926573,0.07165933432848588,0.2605571378745275,0.15773445367140565,0.3954353780090532
