target_name,model,n_repeats,mean,sd,median,min,max
FILD or FILA ADJUDICATED,zebra_logistic,30,0.8124974561054632,0.013694043045420167,0.8135564430597906,0.7909481254840668,0.8511237327044243
FILD or FILA ADJUDICATED,zebra_plus_MUC5B_DOCK2_ridge,30,0.808680771180902,0.01512360515956143,0.807249401676005,0.7521368714109282,0.8309032599063614
FILD or FILA ADJUDICATED,zebra_plus_MUC5B_ridge,30,0.8119509694127935,0.01521256531666479,0.8112902691236907,0.7543461347921041,0.8389924084372405
FILD or FILA ADJUDICATED,zebra_plus_genomics_elasticnet,30,0.8129323457789376,0.013218304630352938,0.8148963486536839,0.7909481254840668,0.8464112770990182
FILD or FILA ADJUDICATED,zebra_raw,30,0.8124974561054632,0.013694043045420167,0.8135564430597906,0.7909481254840668,0.8511237327044243
NON FIBROTIC ILA ADJUDICATED,zebra_logistic,30,0.823880865246373,0.01778143043470804,0.823920075807084,0.7906066943120924,0.8559323796057556
NON FIBROTIC ILA ADJUDICATED,zebra_plus_MUC5B_DOCK2_ridge,30,0.8005458288280796,0.01541627079832211,0.7986366903910362,0.7637563717161155,0.8353913926878245
NON FIBROTIC ILA ADJUDICATED,zebra_plus_MUC5B_ridge,30,0.8094980652162721,0.013345269185142481,0.8092502762562233,0.7799530067370872,0.8367385130880098
NON FIBROTIC ILA ADJUDICATED,zebra_plus_genomics_elasticnet,30,0.7865124582645168,0.017889533012650612,0.7869240206271313,0.7415786409382018,0.8283721082211475
NON FIBROTIC ILA ADJUDICATED,zebra_raw,30,0.823880865246373,0.01778143043470804,0.823920075807084,0.7906066943120924,0.8559323796057556
NONFIBROTIC ILD ADJUDICATED,zebra_logistic,30,0.8158583203108043,0.030078851152511216,0.8191170725354864,0.7667705755957808,0.8602682640968876
NONFIBROTIC ILD ADJUDICATED,zebra_plus_MUC5B_DOCK2_ridge,30,0.7711435679558971,0.03209686889522455,0.7797808959499934,0.6967459955723402,0.8193775231149889
NONFIBROTIC ILD ADJUDICATED,zebra_plus_MUC5B_ridge,30,0.8045920692798542,0.034160749970292344,0.8092789588488085,0.7132439119677041,0.8666818596171376
NONFIBROTIC ILD ADJUDICATED,zebra_plus_genomics_elasticnet,30,0.7153333496114945,0.05257847048715032,0.7248705886183098,0.5868928245865348,0.7861700742284152
NONFIBROTIC ILD ADJUDICATED,zebra_raw,30,0.8158583203108043,0.030078851152511216,0.8191170725354864,0.7667705755957808,0.8602682640968876
