n_knots,logistic_C,requested_clinical_FPR,lambda_LR_Z,log_lambda_LR_Z,clinical_FPR,joint_same_lambda_FPR,clinical_sensitivity,joint_same_lambda_sensitivity,n_flips,n_upward_flips,n_downward_flips,overall_flip_fraction,control_flip_fraction,case_flip_fraction,median_boundary_distance_flips,q90_boundary_distance_flips,q95_boundary_distance_flips,max_boundary_distance_flips,max_flip_distance_minus_abs_observed_logLR_G,flip_fraction_outside_b_delta_0.05,flip_fraction_outside_b_delta_0.01,flip_fraction_outside_b_delta_0.005
4,0.3,0.005,27.12028761567992,3.300282068313891,0.0050343615151030845,0.005114272015342816,0.29365079365079366,0.29365079365079366,7,4,3,0.0005483315055616481,0.0005593735016781205,0.0,0.2544918393854272,0.5264958089786855,0.5543475850098968,0.5821993610411083,-0.04920109101178938,0.0,0.0,0.0
4,0.3,0.01,10.441789571392025,2.3458159826489338,0.010068723030206169,0.010148633530445901,0.29365079365079366,0.3055555555555556,48,26,22,0.0037599874667084443,0.0035959725107879174,0.011904761904761904,0.22922608049966153,0.6192182794660142,0.6705394291093622,0.7352036312767838,-0.018060247535793494,0.0,0.0,0.0
4,0.3,0.02,4.771644295369876,1.5626909615097928,0.020057535560172608,0.022135208566405627,0.3412698412698413,0.36507936507936506,136,84,52,0.010653297822340592,0.009749081029247243,0.05555555555555555,0.2440188147667105,0.7330876463195142,0.7687874957370975,0.8282738621543174,-0.0013299501234513844,0.0,0.0,0.0
4,0.3,0.05,2.045690936717532,0.7157355987963189,0.05002397315007192,0.06456768419370305,0.44047619047619047,0.5079365079365079,535,367,168,0.04190819363935454,0.040274892120824676,0.12301587301587301,0.41323146535055716,0.781935086886515,0.8053033593580649,0.8626029148949742,-0.0006990965503417268,0.009345794392523364,0.0,0.0
4,0.3,0.1,1.260871437933129,0.23180309931353052,0.10004794630014384,0.14032283842096852,0.5357142857142857,0.626984126984127,1401,964,437,0.10974463418455271,0.10867828032603484,0.1626984126984127,0.36579548922829574,0.6072604526795095,0.6605831008117263,0.7820716947411064,-0.0001288503747914893,0.0,0.0,0.0
4,1.0,0.005,23.853089521252304,3.1719137486199602,0.0050343615151030845,0.005114272015342816,0.29365079365079366,0.29365079365079366,7,4,3,0.0005483315055616481,0.0005593735016781205,0.0,0.2722738644328966,0.5418028444819999,0.5688354308322136,0.5958680171824273,-0.036355649611920504,0.0,0.0,0.0
4,1.0,0.01,9.274381843110826,2.2272559586294083,0.010068723030206169,0.010068723030206169,0.29365079365079366,0.30952380952380953,50,27,23,0.0039166536111546295,0.003675883011027649,0.015873015873015872,0.23783093607253047,0.5924628455830736,0.65121976971441,0.6920431268187124,-0.011055494989437753,0.0,0.0,0.0
4,1.0,0.02,4.530988732539372,1.5109401789327086,0.020057535560172608,0.022454850567364553,0.3373015873015873,0.36507936507936506,151,94,57,0.01182829390568698,0.011027649033082947,0.051587301587301584,0.25421612959033024,0.6975596551399876,0.766272760471679,0.8437241595106847,-0.0003455056369995324,0.0,0.0,0.0
4,1.0,0.05,2.1079360234320386,0.7457092808030216,0.05002397315007192,0.0649672366949017,0.44047619047619047,0.503968253968254,567,385,182,0.0444148519504935,0.042752117628256356,0.12698412698412698,0.3888800101705014,0.7801115921130177,0.8036259404267571,0.8756579227819894,-0.0004258267152994488,0.012345679012345678,0.001763668430335097,0.0
4,1.0,0.1,1.3361675355027718,0.28980546807785573,0.10004794630014384,0.13480901390442704,0.5357142857142857,0.623015873015873,1343,900,443,0.10520131599561335,0.10412338181237014,0.15873015873015872,0.3479178723203581,0.630787330518882,0.6898654602406022,0.7822852145534085,-0.0014227575425243,0.0,0.0,0.0
