target_name,repeat,split_seed,model,feature,mean_abs_shap,n_shap_patients
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.3296950_C_0,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.3296950_C_1,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.3296950_C_2,0.00023902376868470347,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.3324416_C_0,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.3324416_C_1,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.3324416_C_2,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.8017528_C_0,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.8017528_C_1,0.00010964455885490983,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.8017528_C_2,0.0014565924262990389,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.10227531_T_0,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.10227531_T_1,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.10227531_T_2,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.14589126_C_0,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.14589126_C_1,0.014849883700045518,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.14589126_C_2,0.012876904603583327,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.15427933_C_0,0.00023244357482267905,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.15427933_C_1,0.010069510211440274,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.15427933_C_2,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.19066231_C_0,0.00885859300708357,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.19066231_C_1,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.19066231_C_2,0.00015176740079221983,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.19101605_A_0,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.19101605_A_1,0.0,2000
FILD or FILA ADJUDICATED,1,171039839,genomic,JHU_1.19101605_A_2,0.0,2000
