target_name,repeat,split_seed,model,feature,mean_abs_shap,n_shap_patients
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs3131520_C_0,0.0054804123135653695,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs3131520_C_1,0.026766828163224916,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs3131520_C_2,0.010434039533068293,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs55993474_A_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs55993474_A_1,0.014198563412127467,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs55993474_A_2,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2375892_T_0,0.019443117700275972,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2375892_T_1,0.00707064581426235,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2375892_T_2,0.008670128569123985,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs10881263_G_0,0.0784718738815328,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs10881263_G_1,0.010030874728112515,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs10881263_G_2,0.027966256440732678,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11102362_G_0,0.028797679920535987,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11102362_G_1,0.0032892630707632305,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11102362_G_2,0.022323746440508246,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs16837903_G_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs16837903_G_1,0.003802554329902529,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs16837903_G_2,0.029864506843838068,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11264306_A_0,0.033547992706845664,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11264306_A_1,0.009216525037661554,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11264306_A_2,0.011098192135612937,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs7547997_G_0,0.008737272358966628,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs7547997_G_1,0.03784288745797032,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs7547997_G_2,0.02270091540376494,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs699240_T_0,0.004613242576197492,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs699240_T_1,0.05484008272689969,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs699240_T_2,0.02268371346546472,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs114064385_G_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs114064385_G_1,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs114064385_G_2,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs55682827_C_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs55682827_C_1,0.0034551752749775906,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs55682827_C_2,0.006935240228301192,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs17019820_A_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs17019820_A_1,0.02556989180935617,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs17019820_A_2,0.0058180623968144005,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2577254_T_0,0.0066766734323696975,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2577254_T_1,0.2405082006510257,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2577254_T_2,0.08659098104091781,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs12710674_C_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs12710674_C_1,0.005617792063422205,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs12710674_C_2,0.0044415247745617885,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs77998999_A_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs77998999_A_1,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs77998999_A_2,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs6736148_C_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs6736148_C_1,0.023108612988084514,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs6736148_C_2,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs4672388_T_0,0.001084255605085193,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs4672388_T_1,0.014104037890826144,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs4672388_T_2,0.004583671621846469,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1123573_A_0,0.006637862335295054,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1123573_A_1,0.024134097057761036,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1123573_A_2,0.04552274727406128,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs17007563_C_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs17007563_C_1,0.00522050920308688,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs17007563_C_2,0.010291669676302987,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs12713927_G_0,0.0022924871263328016,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs12713927_G_1,0.004170673971708821,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs12713927_G_2,0.0065879825513490255,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11680126_C_0,0.010414890634980037,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11680126_C_1,0.0022545182691828336,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs11680126_C_2,0.0024512051974660658,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1669778_T_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1669778_T_1,0.03705075557890663,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1669778_T_2,0.004200405088134479,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1488496_C_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1488496_C_1,0.019090413636878953,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1488496_C_2,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs56387623_T_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs56387623_T_1,0.003038033103411908,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs56387623_T_2,0.009673571321615906,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2361278_T_0,0.045491023016788194,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2361278_T_1,0.04544678030314582,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs2361278_T_2,0.006161301828227572,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs79252367_G_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs79252367_G_1,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs79252367_G_2,0.03496653961384213,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1479945_C_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1479945_C_1,0.13247492013749315,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1479945_C_2,0.24990395796650772,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1015097_A_0,0.0,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1015097_A_1,0.03023262599939556,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs1015097_A_2,0.029984532783556467,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs4680134_C_0,0.01710100498540046,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs4680134_C_1,0.014979029215155443,2000
NON FIBROTIC ILA ADJUDICATED,1,954079809,genomic,rs4680134_C_2,0.005983852219682128,2000
