target_name,repeat,split_seed,model,feature,mean_abs_shap,n_shap_patients
FILD or FILA ADJUDICATED,1,793387248,genomic,rs3131520_C_0,0.03802241876557293,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs3131520_C_1,0.04404520998902649,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs3131520_C_2,0.3233050858250587,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs55993474_A_0,0.0,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs55993474_A_1,0.009532442390049087,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs55993474_A_2,0.005813860844844894,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs2375892_T_0,0.13400575102397952,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs2375892_T_1,0.013090472348468362,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs2375892_T_2,0.15804608279169194,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs10881263_G_0,0.031407846404042816,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs10881263_G_1,0.05390242451540033,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs10881263_G_2,0.028127625386970938,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs11102362_G_0,0.06420787207245002,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs11102362_G_1,0.09279153313824,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs11102362_G_2,0.07414318924646959,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs16837903_G_0,0.0,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs16837903_G_1,0.018410410923972616,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs16837903_G_2,0.24873275615751073,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs11264306_A_0,0.021220944625957597,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs11264306_A_1,0.0259688387921929,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs11264306_A_2,0.010717444592181088,2000
FILD or FILA ADJUDICATED,1,793387248,genomic,rs7547997_G_0,0.008185253027544435,2000
